artist,track,album,played_at,date,month,weekday,hour,track_genre
ПОШЛАЯ МОЛЛИ,ТМСТС,8 Способов как бросить...,2025-08-16 11:45:00,2025-08-16,8,Saturday,11,govno
ssshhhiiittt!,Танцы,Последнее лето (часть 2),2025-08-16 11:42:00,2025-08-16,8,Saturday,11,post-punk
ssshhhiiittt!,Вишенка,ЗЛО,2025-08-15 22:48:00,2025-08-15,8,Friday,22,post-punk
Платина,Гоблин - Bonus,Платина,2025-08-15 15:09:00,2025-08-15,8,Friday,15,trap
Gunna,cfwm,The Last Wun,2025-08-15 15:06:00,2025-08-15,8,Friday,15,rap
Платина,Гоблин - Bonus,Платина,2025-08-15 15:06:00,2025-08-15,8,Friday,15,trap
Gunna,made for this shit,The Last Wun,2025-08-15 14:11:00,2025-08-15,8,Friday,14,rap
Gunna,rare occasion,The Last Wun,2025-08-15 14:08:00,2025-08-15,8,Friday,14,rap
Gunna,On Me,The Last Wun,2025-08-15 14:05:00,2025-08-15,8,Friday,14,rap
Gunna,fuck witcha boy,The Last Wun,2025-08-15 14:02:00,2025-08-15,8,Friday,14,rap
Gunna,satisfaction (feat. Asake),The Last Wun,2025-08-15 11:54:00,2025-08-15,8,Friday,11,rap
Gunna,club house,The Last Wun,2025-08-15 11:51:00,2025-08-15,8,Friday,11,rap
Gunna,podcast,The Last Wun,2025-08-15 11:48:00,2025-08-15,8,Friday,11,rap
Gunna,i can't feel my face (feat. Nechie),The Last Wun,2025-08-15 11:45:00,2025-08-15,8,Friday,11,rap
Gunna,Endless,The Last Wun,2025-08-15 11:16:00,2025-08-15,8,Friday,11,rap
Gunna,Again,The Last Wun,2025-08-15 11:13:00,2025-08-15,8,Friday,11,rap
Gunna,forever be mine (feat. Wizkid),The Last Wun,2025-08-15 11:10:00,2025-08-15,8,Friday,11,rap
Gunna,wgft (feat. Burna Boy),The Last Wun,2025-08-15 11:07:00,2025-08-15,8,Friday,11,rap
Gunna,prototype,The Last Wun,2025-08-15 11:04:00,2025-08-15,8,Friday,11,rap
Gunna,biting my game,The Last Wun,2025-08-15 10:56:00,2025-08-15,8,Friday,10,rap
Платина,Завидуют - Версия 2,Платина,2025-08-15 10:54:00,2025-08-15,8,Friday,10,trap
Gunna,at my purest (feat. Offset),The Last Wun,2025-08-15 10:52:00,2025-08-15,8,Friday,10,rap
Gunna,sakpase,The Last Wun,2025-08-15 10:50:00,2025-08-15,8,Friday,10,rap
Gunna,GP,The Last Wun,2025-08-15 10:48:00,2025-08-15,8,Friday,10,rap
Gunna,just say dat,The Last Wun,2025-08-15 10:46:00,2025-08-15,8,Friday,10,rap
Gunna,many nights,The Last Wun,2025-08-15 10:22:00,2025-08-15,8,Friday,10,rap
Gunna,let that sink in,The Last Wun,2025-08-15 10:22:00,2025-08-15,8,Friday,10,rap
дора,Автопилот,Miss,2025-08-15 09:32:00,2025-08-15,8,Friday,9,russian
Aarne,NBA 300 - outro,AA LANGUAGE,2025-08-15 09:30:00,2025-08-15,8,Friday,9,russian
Playboi Carti,OLYMPIAN,Music,2025-08-15 09:29:00,2025-08-15,8,Friday,9,digicore
Платина,Вопросов нету,SOSA MUZIK,2025-08-14 20:35:00,2025-08-14,8,Thursday,20,trap
Loco Loco,It burns! burns! burns!,Planet Loco,2025-08-14 20:33:00,2025-08-14,8,Thursday,20,dance
Платина,Гоблин - Bonus,Платина,2025-08-14 20:33:00,2025-08-14,8,Thursday,20,trap
Playboi Carti,HBA,Music,2025-08-14 18:58:00,2025-08-14,8,Thursday,18,trap
Polo G,Pop Out (feat. Lil Tjay),Die A Legend,2025-08-14 18:54:00,2025-08-14,8,Thursday,18,trap
AQUAKEY,FUCK REHAB,ROUND DANCE OF DEATH,2025-08-14 18:51:00,2025-08-14,8,Thursday,18,rage
FORTUNA 812,intronett,basedgod,2025-08-14 18:46:00,2025-08-14,8,Thursday,18,russian
Lil Peep,absolute in doubt,crybaby,2025-08-14 18:43:00,2025-08-14,8,Thursday,18,rap
Saluki,BEACH ROCK,BEACH ROCK HOTEL,2025-08-14 18:39:00,2025-08-14,8,Thursday,18,hip-hop
Aarne,Мечты,Aa Language 2,2025-08-14 18:38:00,2025-08-14,8,Thursday,18,russian
SEREBRO,Kiss,СИЛА ТРЁХ,2025-08-14 18:34:00,2025-08-14,8,Thursday,18,pop
